0  3 1
8421504 4432 1 -2
8421505 24431 3 1
8421508 443211 1 0
8421509 443112 3 2
8421760 24432 1 -2
8421762 443212 0 -3
8422017 443221 3 3
8422528 443222 1 -2
8422784 423224 2 -1
8437762 34413 3 0
8437766 441313 0 -3
8438016 34423 3 -2
8438018 442313 2 -3
8438528 442323 1 2
8454144 4433 1 18
8454145 14433 4 18
8454149 443113 4 17
8454272 24433 2 0
8454274 443312 2 -3
8454784 443223 3 2
8470528 4334 3 3
8470529 34431 3 5
8470532 441331 3 1
8470533 433114 3 3
8470656 34432 2 0
8470658 441332 2 2
8470785 442331 3 4
8471040 442332 3 3
8471168 433224 2 3
8486915 443131 4 17
8487041 443231 2 2
8487296 443232 2 1
8536064 34433 3 1
8536066 441333 2 -2
8536320 442333 3 -2
8552449 443133 4 17
8552576 443233 3 -2
8568832 34334 3 0
8568834 431334 0 -3
8569088 432334 1 -1
8585217 443331 4 17
8585344 443332 3 2
8601601 433431 2 5
8601728 433432 2 5
8716288 443333 1 17
8732672 433433 3 4
8781824 334334 1 17
8798208 433334 3 1
10485761 441 2 3
10485764 1441 3 3
10485768 41141 3 2
10485769 44111 2 2
10485778 141141 5 0
10485780 144111 3 3
10485888 442 2 3
10485890 1442 1 4
10485892 44211 3 5
10485893 44112 2 3
10485898 144211 1 4
10485900 144112 3 4
10486017 2441 3 4
10486019 44121 3 5
10486024 241141 0 0
10486025 244111 1 4
10486146 44212 3 3
10486150 144212 3 3
10486272 2442 3 4
10486273 44122 3 3
10486276 244211 3 3
10486277 244112 3 2
10486401 44221 2 4
